state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
California - District 21,2020-11-16 03:20:50.127000,Valadao,Cox,81157,79092,2065,-6673,0,0,      0,0,0,308,313,0,-1,,{},160249
California - District 25,2020-11-16 03:20:50.127000,Garcia,Smith,166617,166513,104,-18929,0,0,      0,0,0,277,277,0,-1,,{},333130
California - District 39,2020-11-16 03:20:50.127000,Kim,Cisneros,169973,165815,4158,-22446,0,0,      0,0,0,441,441,0,-1,,{},335788
New Jersey - District 7,2020-11-15 00:45:46.698000,Malinowski,Kean ,208633,204294,4339,-32041,0,0,      0,0,0,589,622,0,-1,,{},412927
New York - District 1,2020-11-13 05:00:08.188000,Zeldin,Goroff,176323,111203,65120,85854,0,0,      0,0,0,403,523,0.8793342270090937,-0.1206657729909063,,{},287591
New York - District 2,2020-11-13 05:00:08.188000,Garbarino,Gordon,157482,112584,44898,23186,0,0,      0,0,0,407,518,1.4774738900814,0.47747389008139995,,{},272649
New York - District 3,2020-11-13 05:00:08.188000,Santos,Suozzi,137936,133765,4171,28767,0,0,      0,0,0,438,609,0.5729002341441136,-0.4270997658558864,,{},273215
New York - District 18,2020-11-13 05:00:08.188000,Maloney,Farley,135819,127918,7901,53402,0,0,      0,0,0,488,626,0.5746680476493183,-0.42533195235068166,,{},266202
New York - District 19,2020-11-13 05:00:08.188000,Delgado,Van De Water,143782,135244,8538,53678,0,0,      0,0,0,487,611,0.5816033561249737,-0.4183966438750263,,{},286301
New York - District 22,2020-11-13 05:00:08.188000,Tenney,Brindisi,139926,111539,28387,64864,0,0,      0,0,0,456,568,0.7236236300935128,-0.2763763699064872,,{},256986
New York - District 24,2020-11-13 05:00:08.188000,Katko,Balter,177562,117406,60156,36386,0,0,      0,0,0,545,608,1.357917699598501,0.35791769959850095,,{},306130
